,Character,Series,Release Date,Uhrzeit,Wishlist
0,Thorkell,Vinland Saga,01.10.2023,1:00,❤️ 100
1,Onikiri,Kamisama Kiss,01.10.2023,1:10,
2,Houtarou Oreki,Hyouka,01.10.2023,1:30,❤️ 224
3,Nozomu Nanashima,"Kiss Him, Not Me",01.10.2023,1:40,
4,Yan Qing,Fate/Grand Order,01.10.2023,2:10,
5,Cal's Pocket Watch,Phantom: Requiem for the Phantom,01.10.2023,2:30,
6,Fubuki,Senran Kagura: New Link,01.10.2023,2:40,❤️ 137
7,Jude Mathis,Tales of Xillia,01.10.2023,3:00,
8,Purple Heart,Hyperdimension Neptunia,01.10.2023,3:10,
9,Rozaliya Olenyeva,Honkai Impact 3rd,01.10.2023,1:00,
10,Sukuna,Jujutsu Kaisen,01.10.2023,1:10,❤️ 5226
11,Nagisa Shiota,Assassination Classroom,01.10.2023,1:30,❤️ 393
12,Mare Bello Fiore,Overlord,01.10.2023,1:40,
13,Lily,I'm Quitting Heroing,01.10.2023,2:10,
14,Shizue Izawa,That Time I Got Reincarnated as a Slime,01.10.2023,2:30,❤️ 128
15,Cheria Barnes,Tales of Graces,01.10.2023,5:20,
16,Dolce,Log Horizon,01.10.2023,5:30,
17,Mikoto Suoh,K-Project,01.10.2023,5:50,
18,Siegbert,Fire Emblem Fates,01.10.2023,6:00,
19,Yuwa Akebi,Akebi's Sailor Uniform,01.10.2023,6:20,
20,Ryouko Mendou,Urusei Yatsura,01.10.2023,6:30,
21,Otohiko,Kamisama Kiss,01.10.2023,7:00,
22,Kyoji Kasshu,Mobile Fighter G Gundam,01.10.2023,7:20,
23,Maxi,Soulcalibur,01.10.2023,7:30,
24,Pippo,Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,01.10.2023,7:50,
25,Farma de Médicis,Parallel World Pharmacy,01.10.2023,8:10,
26,Siegfried,Granblue Fantasy,01.10.2023,8:20,
27,Yamato Ichidaiji,Megaton-kyuu Musashi,01.10.2023,8:40,
28,Jahy,The Great Jahy Will Not Be Defeated!,01.10.2023,8:50,❤️ 184
29,Rei Suzukawa,Mankitsu Happening,01.10.2023,9:10,❤️ 321
30,18+,Himegoto,01.10.2023,9:20,
31,Michio Hazama,The iDOLM@STER SideM,01.10.2023,9:40,
32,Tomono Kojo,Akebi's Sailor Uniform,01.10.2023,9:50,
33,Rei Sakuma,Ensemble Stars!,01.10.2023,10:10,❤️ 118
34,Captain Silver,Doraemon: Nobita's Treasure Island,01.10.2023,10:20,
35,Tomoko Sakurai,Heaven's Lost Property,01.10.2023,11:10,
36,Homura Akemi,Puella Magi Madoka Magica,01.10.2023,11:30,❤️ 415
37,Jiro Yamada,Hypnosis Mic: Division Rap Battle - Rhyme Anima,01.10.2023,12:00,
38,Uta Koizumi,Selection Project,01.10.2023,12:10,
39,Saori Hidaka,D4DJ First Mix,01.10.2023,12:30,
40,Ria Karasuma,Healer Girl,01.10.2023,12:40,
41,Natsuhiko Hyuuga,Toilet-Bound Hanako-kun,01.10.2023,13:00,
42,Shiho Hinomori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,01.10.2023,13:10,❤️ 94
43,Shizuka Minamoto,Doraemon (1979),01.10.2023,13:30,
44,Nicrom,Shaman King,01.10.2023,13:40,
45,Yukina Himeragi,Strike the Blood,01.10.2023,14:00,❤️ 136
46,Leon Scott Kennedy,Resident Evil: Damnation,01.10.2023,14:10,❤️ 522
47,Yuki Aoba,Rumble Garanndoll,01.10.2023,14:30,
48,Genbu Kurono,The iDOLM@STER SideM,01.10.2023,15:20,
49,Hayate Makami,Rumble Garanndoll,01.10.2023,15:30,
50,Ruka Sarashina,"Kanojo, Okarishimasu",01.10.2023,16:00,❤️ 273
51,Fraw Bow,Mobile Suit Gundam,01.10.2023,16:20,
52,Musashi Sashigami,Rumble Garanndoll,01.10.2023,16:30,
53,Nanaka Kotegawa,Grand Blue,01.10.2023,16:50,
54,Kanna Kamiyama,Demon King Daimao,01.10.2023,17:00,
55,Raphael Sorel,Soulcalibur II,01.10.2023,17:20,
56,Chibi Dragon,Endro~!,01.10.2023,17:30,
57,Jumin Han,Mystic Messenger,01.10.2023,17:50,❤️ 184
58,Red,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",01.10.2023,18:00,
59,Franky Franklin,Spy x Family,01.10.2023,18:20,
60,Chizuru Maki,DREAM!ing,01.10.2023,18:40,
61,Tadashi Yamaguchi,Haikyuu!!,01.10.2023,18:50,
62,Hikari Kagura,Shoujo Kageki Revue Starlight,01.10.2023,19:20,
63,Rizu Ogata,We Never Learn,01.10.2023,19:40,
64,Hina Satou,The Day I Became a God,01.10.2023,19:50,
65,Yu Ishigami,Kaguya-sama: Love Is War,01.10.2023,20:10,❤️ 293
66,Koyomi Araragi,Bakemonogatari,01.10.2023,20:20,❤️ 137
67,Milla Maxwell,Tales of Xillia,01.10.2023,20:40,
68,Miku Hatsune,Hatsune Miku: Downloader,01.10.2023,20:50,❤️ 1206
69,Miu Iruma,Danganronpa V3: Killing Harmony,01.10.2023,21:10,❤️ 164
70,Shouya Ishida,A Silent Voice,01.10.2023,21:20,❤️ 274
71,Hiro,DARLING in the FRANXX,01.10.2023,22:00,❤️ 148
72,Cthune,Haiyore! Nyaruko-san W,01.10.2023,22:10,
73,Jaune Arc,RWBY,01.10.2023,22:30,
74,Mokona Modoki,xxxHOLiC,01.10.2023,22:40,
75,Kanon,Umineko: When They Cry,01.10.2023,23:00,
76,Victor Nikiforov,Yuri!!! on Ice,01.10.2023,23:10,❤️ 208
77,Shining Gundam,Mobile Fighter G Gundam,01.10.2023,23:30,
78,Male Morgan,Fire Emblem Awakening,01.10.2023,23:40,
79,Henken Bekkener,Mobile Suit Zeta Gundam,02.10.2023,0:00,
80,Kubo,Vampire in the Garden,02.10.2023,0:10,
81,Ako Tamaki,And you thought there is never a girl online?,02.10.2023,0:30,
82,Nanachi,Made in Abyss,02.10.2023,0:40,❤️ 318
83,Diona,Genshin Impact,02.10.2023,1:00,❤️ 133
84,Takumi,Fire Emblem Fates,02.10.2023,1:20,
85,Adam Yuriev,#Compass,02.10.2023,1:30,
86,Morihito Arihara,TsukiPro the Animation,02.10.2023,1:50,
87,Miko Iino,Kaguya-sama: Love Is War,02.10.2023,2:00,❤️ 138
88,Paprika,Paprika,02.10.2023,2:20,
89,Gohan,Dragon Ball Z,02.10.2023,2:50,❤️ 371
90,Carmilla,Castlevania Season 2,02.10.2023,3:00,
91,Ryouko Suzunome,Shinobi no Ittoki,02.10.2023,3:30,
92,Uncle Chen,Scissor Seven,02.10.2023,3:50,
93,Kuroh Yatogami,K-Project,02.10.2023,4:00,
94,Kikyou Kushida,Classroom of the Elite,02.10.2023,4:20,
95,Lilia Vanrouge,Twisted Wonderland,02.10.2023,4:30,
96,Mist,Fire Emblem: Path of Radiance,02.10.2023,4:50,
97,Sara Wilson,The Yakuza's Guide to Babysitting,02.10.2023,5:10,
98,Noriko Kamomebata,Scum's Wish,02.10.2023,5:20,
99,Nagisa,Dead or Alive Xtreme Venus Vacation,02.10.2023,5:40,
100,Kyou Nekozaki,Shikimori's Not Just a Cutie,02.10.2023,5:50,
101,Nadeshiko Kagamihara,Laid-Back Camp,02.10.2023,6:10,
102,Ortho Shroud,Twisted Wonderland,02.10.2023,6:20,
103,Ninym Ralei,The Genius Prince's Guide to Raising a Nation Out of Debt,02.10.2023,6:40,❤️ 349
104,Rose Barbary,Brand New Animal,02.10.2023,6:50,
105,Tsubaki,Fena: Pirate Princess,02.10.2023,7:10,
106,Chifuyu Matsuno,Tokyo Revengers,02.10.2023,7:20,❤️ 917
107,Erica Fontaine,Sakura Wars: Ecole de Paris,02.10.2023,7:40,
108,Tetsurou Kuroo,Haikyuu!!,02.10.2023,7:50,❤️ 300
109,Dino,Blend S,02.10.2023,8:10,
110,Ling Wang,The Daily Life of the Immortal King,02.10.2023,8:30,❤️ 127
111,Teiichi Niiya,Dusk Maiden of Amnesia,02.10.2023,8:40,
112,Edmond Dantès,Gankutsuou: The Count of Monte Cristo,02.10.2023,9:10,
113,Michiru Saruwatari,Orient,02.10.2023,9:30,
114,Karenina (Ember),Punishing Gray Raven,02.10.2023,9:40,
115,Sayu Ogiwara,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",02.10.2023,10:00,❤️ 386
116,Flicker,She Professed Herself Pupil of the Wise Man,02.10.2023,10:10,
117,Michitaka,Log Horizon,02.10.2023,10:30,
118,Salomon,Parallel World Pharmacy,02.10.2023,10:40,
119,Leo Fourcade,Tales of Luminaria,02.10.2023,11:00,
120,Sakura,Fire Emblem Fates,02.10.2023,11:50,
121,Kurumi Kawai,IRODUKU: The World in Colors,02.10.2023,12:00,
122,Yuuko Kanoe,Dusk Maiden of Amnesia,02.10.2023,12:20,
123,Akame,Akame ga Kill!,02.10.2023,12:30,❤️ 997
124,Alice,Pandora Hearts,02.10.2023,12:50,
125,Sophie Hatter,Howl's Moving Castle,02.10.2023,13:00,❤️ 147
126,Angela,Neural Cloud,02.10.2023,13:20,
127,Heiji Hattori,Detective Conan,02.10.2023,13:30,
128,Ponchi,Shaman King,02.10.2023,13:50,
129,Yoh Asakura,Shaman King,02.10.2023,14:20,❤️ 96
130,Ange Katrina,Nijisanji,02.10.2023,14:30,
131,Osakabehime,Fate/Grand Order,02.10.2023,14:50,
132,Nagisa Aoi,Strawberry Panic,02.10.2023,15:10,
133,Alluka Zoldyck,Hunter x Hunter (2011),02.10.2023,15:20,
134,Hisui,Tsukihime,02.10.2023,15:40,
135,Ruka Nogi,Gakuen Alice,02.10.2023,15:50,
136,Sherlock Holmes,Moriarty the Patriot,02.10.2023,16:10,❤️ 142
137,Sheena,Ousama Ranking,02.10.2023,16:20,
138,Rikka Takanashi,"Love, Chunibyo & Other Delusions!",02.10.2023,16:40,❤️ 655
139,Haruka Kiritani,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,02.10.2023,16:50,❤️ 89
140,Karstedt,Ascendance of a Bookworm Season 2,02.10.2023,17:10,
141,Kamille Bidan,Mobile Suit Zeta Gundam,02.10.2023,17:20,
142,Tabitha,The Familiar of Zero,02.10.2023,17:40,
143,Harley Quinn,Batman Ninja,02.10.2023,17:50,❤️ 76
144,Touga Kiryuu,Revolutionary Girl Utena,02.10.2023,18:10,
145,Ukon Kijima,Shikizakura,02.10.2023,18:20,
146,Shizuka Doumeki,xxxHOLiC,02.10.2023,18:40,
147,Osamu Yasuhara,Ghost Hunt,02.10.2023,19:00,
148,Undertaker,Black Butler,02.10.2023,19:10,❤️ 271
149,Shiki Takamura,TsukiPro the Animation,02.10.2023,19:30,
150,Cannon Thunderbird,Miss Kuroitsu from the Monster Development Department,02.10.2023,19:40,
151,Kana Fujii,Healer Girl,02.10.2023,20:00,
152,Kotarou Azumi,Tsuki ga Kirei,02.10.2023,20:10,
153,Kouki Amanogawa,Arifureta: From Commonplace to World's Strongest,02.10.2023,20:30,
154,Mito Tsukino,Nijisanji,02.10.2023,20:40,
155,Alicia,The Detective is Already Dead,02.10.2023,21:00,
156,Sun Rong,The Daily Life of the Immortal King,02.10.2023,21:10,
157,Goddess,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,02.10.2023,21:30,
158,Tasuku Takato,A3! Season Autumn & Winter,02.10.2023,21:40,
159,Rody Soul,My Hero Academia: World Heroes' Mission,02.10.2023,22:00,
160,Makoto Majima,Ikebukuro West Gate Park,02.10.2023,22:50,
161,Yae Miko,Genshin Impact,02.10.2023,23:00,❤️ 2682
162,Uryuu Ishida,Bleach,02.10.2023,23:20,
163,Popon,Doraemon: Nobita no Himitsu Dougu Museum,02.10.2023,23:30,
164,Luke,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,02.10.2023,23:50,
165,L,Death Note,03.10.2023,0:00,❤️ 1148
166,Nyu,Elfen Lied,03.10.2023,0:20,
167,Akane Fudo,B-PROJECT: Zecchou*Emotion,03.10.2023,0:30,
168,Kazuomi Inui,"Omoi, Omoware, Furi, Furare",03.10.2023,0:50,
169,Inori Yuzuriha,Guilty Crown,03.10.2023,1:00,❤️ 293
170,Taichi Nanao,A3! Season Autumn & Winter,03.10.2023,1:40,
171,Rita Rossweisse,Honkai Impact 3rd,03.10.2023,1:50,
172,Shou,Koi to Producer: EVOL×LOVE,03.10.2023,2:10,
173,Kuki Shinobu,Genshin Impact,03.10.2023,2:20,❤️ 280
174,Mernes,I'm Quitting Heroing,03.10.2023,2:40,
175,Melody,Hunter x Hunter,03.10.2023,2:50,
176,Yoshimitsu,Tekken 1,03.10.2023,3:10,
177,Onido Minobe,Shinobi no Ittoki,03.10.2023,3:40,
178,Yubaba,Spirited Away,03.10.2023,3:50,
179,Ichiro Ogami,Sakura Wars TV,03.10.2023,4:10,
180,Nene Sakura,New Game!,03.10.2023,4:20,
181,Karl Heisenberg,Resident Evil Village,03.10.2023,4:40,❤️ 94
182,Giluas,The Strongest Sage with the Weakest Crest,03.10.2023,5:00,
183,Eva,Ascendance of a Bookworm,03.10.2023,5:10,
184,Eizen,Tales of Berseria,03.10.2023,5:30,
185,Sayaka Saeki,Bloom Into You,03.10.2023,5:40,
186,Morel McCarnathy,Hunter x Hunter (2011),03.10.2023,6:00,
187,Hisoka Mikage,A3! Season Autumn & Winter,03.10.2023,6:10,
188,Xianghua Chai,Soulcalibur,03.10.2023,6:30,
189,Nao Tomori,Charlotte,03.10.2023,6:40,❤️ 398
190,Shouta Magatsuchi,Miss Kobayashi's Dragon Maid,03.10.2023,7:00,
191,Hector,Fire Emblem: The Blazing Blade,03.10.2023,7:10,
192,Oubu,Reikenzan: Hoshikuzu-tachi no Utage,03.10.2023,7:30,
193,Michiru Otori,Revue Starlight Re LIVE,03.10.2023,7:40,
194,Alisha Diphda,Tales of Zestiria: The X - Age of Chaos,03.10.2023,8:00,
195,Gil,Ascendance of a Bookworm Season 2,03.10.2023,8:10,
196,Nagisa Ran,Ensemble Stars!,03.10.2023,8:50,
197,Megumi Tadokoro,Food Wars! Shokugeki no Souma,03.10.2023,9:00,❤️ 88
198,Walter,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,03.10.2023,9:20,
199,Elena Hanakaze,Jouran: The Princess of Snow and Blood,03.10.2023,9:30,
200,Kotori Minami,Love Live! School Idol Project,03.10.2023,9:50,
201,Senri Nito,DREAM!ing,03.10.2023,10:00,
202,Lisbeth,Sword Art Online,03.10.2023,10:20,
203,Atsumari,Seiyuu's Life!,03.10.2023,10:50,
204,Shiemi Moriyama,Blue Exorcist,03.10.2023,11:00,
205,Lucia (Plume),Punishing Gray Raven,03.10.2023,11:20,
206,Naoko Yanagisawa,Cardcaptor Sakura,03.10.2023,11:30,
207,Barbara,Genshin Impact,03.10.2023,11:50,❤️ 133
208,Yuuji Sano,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,03.10.2023,12:10,
209,Ayla (Brilliance),Punishing Gray Raven,03.10.2023,12:20,
210,Sawashiro Jo,Yakuza: Like a Dragon,03.10.2023,12:40,
211,Glass,The Rising of the Shield Hero,03.10.2023,12:50,
212,Ao Hoshizaki,Blue Reflection,03.10.2023,13:10,
213,Aoi Miyake,D4DJ First Mix,03.10.2023,13:20,
214,Anya Alstreim,Code Geass: Lelouch of the Rebellion R2,03.10.2023,13:40,
215,Naotsugu,Log Horizon,03.10.2023,13:50,
216,Gaara,Naruto,03.10.2023,14:10,❤️ 248
217,Fel,Campfire Cooking in Another World with My Absurd Skill,03.10.2023,14:20,
218,Izumi Miyamura,Horimiya,03.10.2023,14:40,❤️ 1446
219,Luminaria,She Professed Herself Pupil of the Wise Man,03.10.2023,14:50,
220,Mikage,Kamisama Kiss,03.10.2023,15:10,
221,Akiho Shinomoto,Cardcaptor Sakura: Clear Card-hen,03.10.2023,15:30,
222,Natasha Zabigov,Mobile Fighter G Gundam,03.10.2023,15:40,
223,Deathmagla,Cautious Hero: The Hero Is Overpowered but Overly Cautious,03.10.2023,16:00,
224,Yomogi Emarl,The Rising of the Shield Hero 2nd Season,03.10.2023,16:10,
225,Linde,Fire Emblem: Shadow Dragon and the Blade of Light,03.10.2023,16:30,
226,Lacus Welt,Seraph of the End,03.10.2023,16:40,
227,Tetta Kisaki,Tokyo Revengers,03.10.2023,17:00,
228,Hatsuho Shinonome,Shin Sakura Wars,03.10.2023,17:10,
229,Ci Caprice,Sakura Wars: Ecole de Paris,03.10.2023,17:30,
230,Kaido,One Piece,03.10.2023,17:40,❤️ 154
231,Yuuji Ookusu,Slam Dunk,03.10.2023,18:00,
232,Usopp,One Piece,03.10.2023,18:10,❤️ 717
233,Lily,Granblue Fantasy,03.10.2023,19:00,
234,Ichigo Moesaki,Seiyuu's Life!,03.10.2023,19:20,
235,Shiro,Deadman Wonderland,03.10.2023,19:50,❤️ 104
236,Rosalie Lamorlière,The Rose of Versailles,03.10.2023,20:00,
237,Lisa,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,03.10.2023,20:50,
238,Makoto Niijima,Persona 5 the Animation,03.10.2023,21:00,❤️ 200
239,Kanami Kurosaki,The Yakuza's Guide to Babysitting,03.10.2023,21:20,
240,Palace Athene,Mobile Suit Zeta Gundam,03.10.2023,21:50,
241,Spada Belforma,Tales of Innocence,03.10.2023,22:00,
242,Lukshana,The Familiar of Zero F,03.10.2023,22:20,
243,Gigi Andalucia,Mobile Suit Gundam: Hathaway's Flash,03.10.2023,22:40,
244,Erika Kizaki,Akebi's Sailor Uniform,03.10.2023,22:50,
245,Ferris,Re:ZERO -Starting Life in Another World-,03.10.2023,23:10,❤️ 281
246,Suguru Getou,Jujutsu Kaisen,03.10.2023,23:20,❤️ 1328
247,Hinako Mukaimizu,Ride Your Wave,03.10.2023,23:40,
248,Arie Matsushima,Koikimo,03.10.2023,23:50,
249,Legretta,Tales of the Abyss,04.10.2023,0:10,
250,Rosetta (Rigor),Punishing Gray Raven,04.10.2023,0:20,
251,Miiko Takeshita,D4DJ First Mix,04.10.2023,0:40,
252,Rias Gremory,High School DxD,04.10.2023,0:50,❤️ 2894
253,Ai,Aria the Avvenire,04.10.2023,1:20,
254,Akira Toudou,World's End Harem,04.10.2023,1:40,❤️ 136
255,Meroune Lorelei,Monster Musume no Iru Nichijou,04.10.2023,2:10,
256,Jake,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,04.10.2023,2:30,
257,Frederick,Fire Emblem Awakening,04.10.2023,3:00,
258,Momiji,Ninja Gaiden: Dragon Sword,04.10.2023,3:10,
259,Saurva,The Great Jahy Will Not Be Defeated!,04.10.2023,3:40,
260,Iris Lana Armelia,Accomplishments of the Duke's Daughter,04.10.2023,4:00,
261,Bombinata (Vitrum),Punishing Gray Raven,04.10.2023,4:10,
262,Mai Zenin,Jujutsu Kaisen,04.10.2023,4:30,❤️ 80
263,Bruce Wayne,Batman Ninja,04.10.2023,4:40,
264,Chongyun,Genshin Impact,04.10.2023,5:00,❤️ 306
265,Eua,When They Cry: Gou,04.10.2023,5:20,
266,Klein Clara,Birdie Wing: Golf Girls' Story,04.10.2023,5:30,
267,Denki Kaminari,My Hero Academia,04.10.2023,6:00,❤️ 225
268,Destiny,takt op.Destiny,04.10.2023,6:20,❤️ 853
269,Kiryuu Miran,Baku Ane 2: Otouto Ippai Shibocchau zo!,04.10.2023,6:30,❤️ 91
270,Moeha Fujiwara,Kaguya-sama: Love Is War,04.10.2023,6:50,
271,Tsukasa Suou,Ensemble Stars!,04.10.2023,7:00,
272,Oliva Biscuit,Baki the Grappler: Maximum Tournament,04.10.2023,7:20,
273,Raphtalia,The Rising of the Shield Hero,04.10.2023,7:30,❤️ 912
274,Maria Ushiromiya,Umineko: When They Cry,04.10.2023,7:50,
275,Druj,The Great Jahy Will Not Be Defeated!,04.10.2023,8:00,
276,Rika Furude,When They Cry: Higurashi,04.10.2023,8:20,❤️ 105
277,Mei Mei,Jujutsu Kaisen,04.10.2023,8:40,❤️ 270
278,Liv (Solaeter),Punishing Gray Raven,04.10.2023,8:50,
279,Aren Kuboyasu,The Disastrous Life of Saiki K.,04.10.2023,9:10,
280,Katz,Mobile Suit Gundam,04.10.2023,9:20,
281,Diana Cavendish,Little Witch Academia,04.10.2023,9:40,
282,Japan,Hetalia: Axis Powers,04.10.2023,9:50,
283,Amanda,Reincarnated as a Sword,04.10.2023,10:10,
284,Bakkun,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,04.10.2023,10:20,
285,Futaba Isurugi,Shoujo Kageki Revue Starlight,04.10.2023,10:40,
286,Ponzu,Hunter x Hunter,04.10.2023,10:50,
287,Yako,Toilet-Bound Hanako-kun,04.10.2023,11:10,
288,Charlotte Corday,Fate/Grand Order,04.10.2023,11:40,
289,Rajan Zahi,Mobile Suit Gundam: The Witch from Mercury PROLOGUE,04.10.2023,11:50,
290,Dimitri Romanee,Visual Prison,04.10.2023,12:40,
291,Gilles Wayne,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,04.10.2023,13:00,
292,Mirajane Strauss,Fairy Tail,04.10.2023,13:10,❤️ 361
293,Haruka Hashida,Blue Period,04.10.2023,13:30,
294,Mary,Granblue Fantasy the Animation,04.10.2023,14:00,
295,Saizo,Fire Emblem Fates,04.10.2023,14:10,
296,Otoya Ittoki,Uta no Prince-sama: Maji Love 1000%,04.10.2023,14:40,
297,Shinobu Kochou,Demon Slayer: Kimetsu no Yaiba,04.10.2023,15:00,❤️ 3042
298,Marie Antoinette,Fate/Grand Order,04.10.2023,15:10,
299,Tianzi,Code Geass: Lelouch of the Rebellion R2,04.10.2023,15:30,
300,Tomobiki High School Principal,Urusei Yatsura,04.10.2023,15:50,
301,Yukiko Shirato,Megalo Box,04.10.2023,16:00,
302,Vice,The King of Fighters '96,04.10.2023,16:20,
303,Yuuichi Aizawa,Kanon (2006),04.10.2023,16:30,
304,Sylvie,How NOT to Summon a Demon Lord,04.10.2023,16:50,
305,Akari Oozora,Aikatsu! 2,04.10.2023,17:00,
306,Ren Jinguji,Uta no Prince-sama: Maji Love 1000%,04.10.2023,17:20,
307,Shade,Fire Emblem 0 (Cipher),04.10.2023,17:30,
308,Zeph,She Professed Herself Pupil of the Wise Man,04.10.2023,17:50,
309,Sung Jin-Woo,Solo Leveling,04.10.2023,18:00,❤️ 5097
310,Gilbert G.P. Guilford,Code Geass: Lelouch of the Rebellion,04.10.2023,18:30,
311,Orona,Shaman King,04.10.2023,19:10,
312,Alicia Edelcia,Uncle from Another World,04.10.2023,19:40,
313,Bill Burton,Shaman King,04.10.2023,19:50,
314,Aoshi Shinomori,Rurouni Kenshin,04.10.2023,20:10,
315,Amadeus,Steins;Gate 0,04.10.2023,20:20,
316,Soujirou Theta,Log Horizon,04.10.2023,20:40,
317,Shinichiro Oda,2.43: Seiin Koukou Danshi Volley-bu,04.10.2023,20:50,
318,Ryouta Watari,Your lie in April,04.10.2023,21:10,
319,Celestia Ludenberg,Danganronpa: The Animation,04.10.2023,21:20,❤️ 192
320,Sayaka Kirasaka,Strike the Blood,04.10.2023,21:40,
321,Meruem,Hunter x Hunter (2011),04.10.2023,21:50,
322,LICO,BLACKSTAR -Theater Starless-,04.10.2023,22:10,
323,Amy Rose,Sonic X,04.10.2023,22:30,
324,Gilgamesh,Fate/stay night,04.10.2023,22:40,❤️ 363
325,Kyo Sohma,Fruits Basket,04.10.2023,23:10,❤️ 404
326,Ouken,Ousama Ranking,04.10.2023,23:30,
327,Touma Akechi,The Disastrous Life of Saiki K. 2nd Season,04.10.2023,23:40,
328,Nene Odagiri,Yamada-kun and the Seven Witches,05.10.2023,0:00,
329,Hiyori Kazane,Heaven's Lost Property The Movie: The Angeloid of Clockwork,05.10.2023,0:10,
330,Yuisis,Granblue Fantasy,05.10.2023,0:40,
331,Dutch,Black Lagoon,05.10.2023,1:00,
332,Ayra,Fire Emblem: Genealogy of the Holy War,05.10.2023,1:30,
333,Jin Sagami,Ensemble Stars!,05.10.2023,1:40,
334,Emma,Link Click,05.10.2023,2:00,
335,Thoma,Genshin Impact,05.10.2023,2:20,❤️ 331
336,Kei Shirogane,Kaguya-sama: Love Is War,05.10.2023,2:30,❤️ 100
337,Suzu Naitou,BELLE,05.10.2023,2:50,
338,Lisette Regnier,Tales of Luminaria,05.10.2023,3:00,
339,Kougyoku Ren,Magi: The Kingdom of Magic,05.10.2023,3:20,
340,Johan Liebert,Monster,05.10.2023,3:30,❤️ 397
341,Chizuru Yukimura,Hakuouki: Demon of the Fleeting Blossom,05.10.2023,3:50,
342,Alpha,The Eminence in Shadow,05.10.2023,4:00,❤️ 1046
343,Weather Report,JoJo's Bizarre Adventure: Stone Ocean,05.10.2023,4:20,❤️ 161
344,Sonia Yanagi,Healer Girl,05.10.2023,4:30,
345,Kotaro Higashi,Ultraman Season 2,05.10.2023,4:50,
346,Yukihana Lamy,Hololive: Holo no Graffiti,05.10.2023,5:00,❤️ 112
347,Soubiki Noho,#Compass,05.10.2023,5:20,
348,Rig,Dead or Alive 5,05.10.2023,5:40,
349,Chinami Umihara,We Never Learn,05.10.2023,5:50,
350,Judas,Tales of Destiny 2,05.10.2023,6:10,
351,Keith Max,HELIOS Rising Heroes,05.10.2023,6:20,
352,Tania,Beast Tamer,05.10.2023,6:40,❤️ 94
353,Josee,"Josee, the Tiger and the Fish",05.10.2023,6:50,❤️ 191
354,Akira Yukishiro,Revue Starlight Re LIVE,05.10.2023,7:20,
355,Hinagiku Katsura,Hayate the Combat Butler!,05.10.2023,7:40,
356,Sarzant Evol,Megaton-kyuu Musashi,05.10.2023,7:50,
357,Tsugumi Hattori,Orient,05.10.2023,8:20,
358,Rondoline E. Effenberg,Tales of Phantasia: Narikiri Dungeon,05.10.2023,8:40,
359,Mai Sakurajima,Rascal Does Not Dream of Bunny Girl Senpai,05.10.2023,9:00,❤️ 3304
360,Shiori Yamaga,Selection Project,05.10.2023,9:10,
361,Yotasuke Takahashi,Blue Period,05.10.2023,9:40,
362,Nana Hiiragi,Talentless Nana,05.10.2023,10:00,
363,Kazuki Sanada,Hajime no Ippo: Champion Road,05.10.2023,10:10,
364,Riona Shijo,Akebi's Sailor Uniform,05.10.2023,10:30,
365,Riki Jr. No. 2,The Disastrous Life of Saiki K. 2nd Season,05.10.2023,10:40,
366,Saeko Tanaka,Haikyuu!! Second Season,05.10.2023,11:00,
367,Kaede Higuchi,Nijisanji,05.10.2023,11:10,
368,Mabel Rayveil,Uncle from Another World,05.10.2023,11:30,
369,Mira,She Professed Herself Pupil of the Wise Man,05.10.2023,11:40,
370,Estellise Sidos Heurassein,Tales of Vesperia,05.10.2023,12:00,
371,Ruka Kiryuu,Magical Girl Ore,05.10.2023,12:20,
372,Makoto Narumi,Seraph of the End: Battle in Nagoya,05.10.2023,12:30,
373,Camu (Crocotta),Punishing Gray Raven,05.10.2023,13:00,
374,Sakura Oshigiri,The Ones Within,05.10.2023,13:30,
375,Richter Abend,Tales of Symphonia: Dawn of the New World,05.10.2023,13:50,
376,Yuzuki Choco,Hololive: Holo no Graffiti,05.10.2023,14:00,
377,Lillie,Pokémon Sun & Moon,05.10.2023,14:20,
378,Jibril,No Game No Life,05.10.2023,14:30,❤️ 353
379,Issei Torasawa,DREAM!ing,05.10.2023,14:50,
380,Alibaba Saluja,Magi: The Kingdom of Magic,05.10.2023,15:00,
381,Rein Shroud,Beast Tamer,05.10.2023,15:20,
382,Munemori Taira,Heike Monogatari,05.10.2023,15:30,
383,Gagumber,Sakugan,05.10.2023,15:50,
384,Felix Hugo Fraldarius,Fire Emblem: Three Houses,05.10.2023,16:10,
385,Misaki,Dead or Alive Xtreme Venus Vacation,05.10.2023,16:20,
386,Wakatoshi Ushijima,Haikyuu!!,05.10.2023,16:40,❤️ 81
